Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,173,-59.75,90,top
C2,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,182,-60.75,0,top
C3,4.7 uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,182,-59.5,0,top
D1,D_Schottky,D_SOD-323,171.5,-58.95,90,top
D2,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-53.839231,45,top
D3,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-53.839231,45,top
D4,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-53.839231,45,top
D5,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-53.839231,45,top
D6,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-53.839231,45,top
D7,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-53.839231,45,top
D8,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-53.839231,45,top
D9,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-53.839231,45,top
D10,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-53.839231,45,top
D11,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-53.839231,45,top
D12,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-53.839231,45,top
D13,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-53.839231,45,top
D14,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-56.339231,45,top
D15,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-56.339231,45,top
D16,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-56.339231,45,top
D17,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-56.339231,45,top
D18,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-56.339231,45,top
D19,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-56.339231,45,top
D20,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-56.339231,45,top
D21,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-56.339231,45,top
D22,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-56.339231,45,top
D23,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-56.339231,45,top
D24,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-56.339231,45,top
D25,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-56.339231,45,top
D26,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-58.839231,45,top
D27,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-58.839231,45,top
D28,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-58.839231,45,top
D29,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-58.839231,45,top
D30,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-58.839231,45,top
D31,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-58.839231,45,top
D32,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-58.839231,45,top
D33,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-58.839231,45,top
D34,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-58.839231,45,top
D35,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-58.839231,45,top
D36,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-58.839231,45,top
D37,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-58.839231,45,top
D38,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-61.339231,45,top
D39,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-61.339231,45,top
D40,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-61.339231,45,top
D41,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-61.339231,45,top
D42,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-61.339231,45,top
D43,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-61.339231,45,top
D44,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-61.339231,45,top
D45,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-61.339231,45,top
D46,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-61.339231,45,top
D47,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-61.339231,45,top
D48,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-61.339231,45,top
D49,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-61.339231,45,top
D50,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-63.839231,45,top
D51,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-63.839231,45,top
D52,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-63.839231,45,top
D53,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-63.839231,45,top
D54,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-63.839231,45,top
D55,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-63.839231,45,top
D56,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-63.839231,45,top
D57,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-63.839231,45,top
D58,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-63.839231,45,top
D59,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-63.839231,45,top
D60,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-63.839231,45,top
D61,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-63.839231,45,top
D62,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-66.339231,45,top
D63,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-66.339231,45,top
D64,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-66.339231,45,top
D65,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-66.339231,45,top
D66,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-66.339231,45,top
D67,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-66.339231,45,top
D68,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-66.339231,45,top
D69,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-66.339231,45,top
D70,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-66.339231,45,top
D71,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-66.339231,45,top
D72,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-66.339231,45,top
D73,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-66.339231,45,top
